dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
forda,0.5,64,0,2.545159101486206,12.769428253173828,22.849667242595128,1.7053669691085815,12.639710766928536,0.875,0.9106060606060606
forda,0.5,64,1,2.118626117706299,9.225475311279297,22.546828780855453,1.9030721187591553,12.228157486234393,0.8704545454545455,0.928030303030303
forda,0.5,64,2,2.116405487060547,8.214287757873535,22.13724180630275,1.6910613775253296,11.916208045823234,0.8704545454545455,0.9234848484848485
forda,0.5,64,3,2.1949830055236816,8.60312557220459,21.753056492124283,1.7433581352233887,12.085389358656746,0.8704545454545455,0.8878787878787879
forda,0.5,64,4,2.475372791290283,11.510723114013672,22.00316606249128,2.008359432220459,12.515481165477208,0.8515151515151516,0.9318181818181818
forda,0.75,64,0,2.0958199501037598,7.105726718902588,17.273378355162485,1.543492317199707,9.838728751455035,0.8522727272727273,0.9166666666666666
forda,0.75,64,1,2.1375088691711426,5.953876972198486,16.80486990724291,1.7951374053955078,9.155801006725856,0.8340909090909091,0.9348484848484848
forda,0.75,64,2,2.198246955871582,5.481588363647461,16.43437969684601,1.7752705812454224,9.569941367421832,0.8393939393939394,0.9272727272727272
forda,0.75,64,3,2.202247381210327,5.6781768798828125,16.878488762038096,1.661494493484497,9.625838432993207,0.8522727272727273,0.9227272727272727
forda,0.75,64,4,2.0531725883483887,5.633358955383301,15.705318570137024,1.5516531467437744,9.329317229134697,0.8575757575757575,0.918939393939394
forda,1.0,64,0,2.156682014465332,4.0970234870910645,11.78018547807421,1.6231003999710083,7.879460266658238,0.8045454545454546,0.9303030303030303
forda,1.0,64,1,1.9160083532333374,3.983225107192993,12.198592816080366,1.532589077949524,7.75430714232581,0.8272727272727273,0.9121212121212121
forda,1.0,64,2,1.9687268733978271,3.922879695892334,11.839620862688337,1.7314187288284302,7.654654162270682,0.8,0.9303030303030303
forda,1.0,64,3,1.9536933898925781,4.074163913726807,12.112182225499835,1.431266188621521,7.6218297226088385,0.8333333333333334,0.906060606060606
forda,1.0,64,4,2.3542308807373047,3.985830068588257,12.2767573595047,1.5386394262313843,8.016464752810341,0.8106060606060606,0.9037878787878788
forda,0.0,512,0,14.732891082763672,79.193359375,45.728038379124236,10.17565631866455,29.568180084228516,0.8090909090909091,0.9257575757575758
forda,0.0,512,1,15.678961753845215,78.1209487915039,45.89404160635812,11.938762664794922,29.990076678139822,0.7727272727272727,0.8992424242424243
forda,0.0,512,2,14.122333526611328,76.7435531616211,45.63557522637503,10.364849090576172,29.392412219728744,0.8371212121212122,0.9234848484848485
forda,0.0,512,3,16.015518188476562,82.68633270263672,46.138179302215576,11.726247787475586,30.515336309160507,0.8045454545454546,0.8909090909090909
forda,0.0,512,4,14.19619083404541,71.73428344726562,45.82181058611189,9.796642303466797,28.96569231578282,0.8113636363636364,0.9272727272727272
forda,0.25,512,0,3.351956367492676,39.067665100097656,36.537642683301655,3.0908279418945312,22.13852913039071,0.8787878787878788,0.928030303030303
forda,0.25,512,1,3.566380500793457,34.43291473388672,36.643857615334646,3.8075129985809326,21.37186806542533,0.8984848484848484,0.9265151515151515
forda,0.25,512,2,3.823115348815918,38.140869140625,36.39820889064244,3.564883232116699,21.927985191345215,0.878030303030303,0.9151515151515152
forda,0.25,512,3,3.4228010177612305,42.75399398803711,36.558440889631,3.838691234588623,22.006899969918386,0.8734848484848485,0.8674242424242424
forda,0.25,512,4,3.6329026222229004,41.99126434326172,36.20485741751535,3.2468161582946777,21.789120844432286,0.8856060606060606,0.8939393939393939
forda,0.5,512,0,2.7129170894622803,14.633273124694824,27.989544289452688,2.358436107635498,16.090264473642623,0.8621212121212121,0.9265151515151515
forda,0.5,512,1,2.747795581817627,15.152215957641602,28.311814205987112,2.3720879554748535,16.232693518911088,0.8848484848484849,0.9318181818181818
forda,0.5,512,2,2.8220019340515137,15.212568283081055,28.19995038849967,2.389162540435791,16.92493396145957,0.8893939393939394,0.8931818181818182
