dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
eigenworms,0.5,64,3,11.348285675048828,16.912818908691406,16.378185272216797,9.525185585021973,8.638603687286377,0.4122137404580153,0.7633587786259542
eigenworms,0.5,64,4,11.7296142578125,16.392793655395508,16.275386810302734,8.588945388793945,8.658557891845703,0.4198473282442748,0.732824427480916
eigenworms,0.75,64,0,9.324016571044922,13.3814697265625,14.716652870178223,8.392797470092773,9.259294033050537,0.4351145038167939,0.7404580152671756
eigenworms,0.75,64,1,10.116250991821289,14.584013938903809,14.53068494796753,8.595812797546387,8.701384544372559,0.40458015267175573,0.8473282442748091
eigenworms,0.75,64,2,9.447525024414062,15.003106117248535,14.979300498962402,9.438474655151367,8.244868993759155,0.4198473282442748,0.7251908396946565
eigenworms,0.75,64,3,10.612007141113281,14.71269416809082,13.865364074707031,8.807659149169922,8.271141290664673,0.4198473282442748,0.7557251908396947
eigenworms,0.75,64,4,11.080107688903809,15.0314302444458,14.937649726867676,8.560480117797852,8.705009460449219,0.37404580152671757,0.7557251908396947
eigenworms,1.0,64,0,8.737286567687988,11.632784843444824,13.26169204711914,8.63388442993164,10.68071174621582,0.366412213740458,0.6946564885496184
eigenworms,1.0,64,1,9.27588939666748,12.25351333618164,13.552253246307373,7.92067813873291,8.235735893249512,0.4198473282442748,0.7480916030534351
eigenworms,1.0,64,2,8.826848983764648,13.217321395874023,14.27022409439087,9.781065940856934,8.993138790130615,0.4122137404580153,0.6946564885496184
eigenworms,1.0,64,3,9.813791275024414,13.110177040100098,13.708126068115234,9.346973419189453,9.10142469406128,0.3893129770992366,0.7709923664122137
eigenworms,1.0,64,4,9.42773723602295,13.690531730651855,13.395583629608154,7.820461750030518,9.451959133148193,0.42748091603053434,0.7022900763358778
eigenworms,0.0,512,0,14.756240844726562,44.17484664916992,35.225833892822266,11.436393737792969,13.960547924041748,0.4122137404580153,0.7862595419847328
eigenworms,0.0,512,1,13.96934986114502,41.18756866455078,32.93851852416992,10.69970703125,11.985810279846191,0.4198473282442748,0.7862595419847328
eigenworms,0.0,512,2,17.1341609954834,44.50498962402344,35.56805229187012,12.95028305053711,13.863529682159424,0.40458015267175573,0.7251908396946565
eigenworms,0.0,512,3,15.160289764404297,41.95813751220703,34.668800354003906,12.29643440246582,12.095102310180664,0.4198473282442748,0.7557251908396947
eigenworms,0.0,512,4,14.657914161682129,38.278900146484375,32.16064453125,11.244160652160645,12.276119709014893,0.4198473282442748,0.7251908396946565
eigenworms,0.25,512,0,14.528894424438477,38.540164947509766,30.89322280883789,10.582939147949219,12.743792057037354,0.2900763358778626,0.7938931297709924
eigenworms,0.25,512,1,14.17923641204834,36.3484001159668,31.26869487762451,10.088982582092285,11.772243022918701,0.42748091603053434,0.7557251908396947
eigenworms,0.25,512,2,16.524980545043945,39.280574798583984,33.34308052062988,12.984638214111328,13.830734252929688,0.4122137404580153,0.8015267175572519
eigenworms,0.25,512,3,14.914874076843262,36.868370056152344,31.1506290435791,11.850924491882324,12.544342994689941,0.4198473282442748,0.7938931297709924
eigenworms,0.25,512,4,13.868950843811035,36.85883331298828,30.16344451904297,10.283799171447754,11.965460300445557,0.4961832061068702,0.7938931297709924
eigenworms,0.5,512,0,12.462961196899414,30.771312713623047,27.874089241027832,10.081185340881348,11.645909786224365,0.2595419847328244,0.7557251908396947
eigenworms,0.5,512,1,13.316431999206543,32.39581298828125,28.866795539855957,9.757589340209961,11.316337585449219,0.4580152671755725,0.8015267175572519
eigenworms,0.5,512,2,13.647122383117676,33.42188262939453,29.363322257995605,11.750237464904785,13.026689052581787,0.4122137404580153,0.7786259541984732
eigenworms,0.5,512,3,12.911312103271484,32.549476623535156,28.526718139648438,10.882407188415527,12.03153133392334,0.4198473282442748,0.7938931297709924
eigenworms,0.5,512,4,13.438657760620117,32.532318115234375,28.483590126037598,11.146383285522461,12.05683708190918,0.4732824427480916,0.7938931297709924
eigenworms,0.75,512,0,10.837530136108398,25.97730255126953,24.102412223815918,9.220431327819824,11.590514183044434,0.4580152671755725,0.7251908396946565
eigenworms,0.75,512,1,11.290952682495117,26.82378387451172,26.153748512268066,8.976481437683105,11.65688943862915,0.4351145038167939,0.7862595419847328
eigenworms,0.75,512,2,12.143930435180664,29.450780868530273,26.864863395690918,10.847012519836426,12.709565162658691,0.4198473282442748,0.7557251908396947
eigenworms,0.75,512,3,11.778223991394043,27.428787231445312,25.446823120117188,10.289226531982422,11.908589363098145,0.3511450381679389,0.7862595419847328
eigenworms,0.75,512,4,11.852372169494629,27.917724609375,25.95783042907715,9.50271987915039,11.99968147277832,0.4198473282442748,0.7633587786259542
eigenworms,1.0,512,0,10.16573429107666,21.19089698791504,21.49411392211914,8.923844337463379,11.075269222259521,0.4198473282442748,0.7709923664122137
eigenworms,1.0,512,1,10.425840377807617,20.248327255249023,22.410922050476074,9.158235549926758,11.629946231842041,0.4351145038167939,0.7633587786259542
eigenworms,1.0,512,2,11.838395118713379,22.015989303588867,23.412635803222656,10.171746253967285,11.916336059570312,0.4198473282442748,0.7633587786259542
eigenworms,1.0,512,3,11.267094612121582,24.390644073486328,22.75733470916748,10.683584213256836,10.761475563049316,0.3969465648854962,0.7938931297709924
eigenworms,1.0,512,4,10.951177597045898,23.612085342407227,22.785225868225098,8.85507869720459,11.913039684295654,0.48091603053435117,0.7786259541984732
