dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
spokenarabicdigits,1.0,64,1,16.578826904296875,25.654184341430664,23.793132522731153,10.149651527404785,14.129918403995847,0.9504545454545454,0.9877272727272727
spokenarabicdigits,1.0,64,2,16.01568603515625,27.16903305053711,24.937075198275373,9.949701309204102,14.807625937230378,0.9336363636363636,0.9904545454545455
spokenarabicdigits,1.0,64,3,16.269020080566406,24.76604461669922,23.15682935251773,11.131233215332031,15.173544217081902,0.9377272727272727,0.9945454545454545
spokenarabicdigits,1.0,64,4,17.08094596862793,24.927818298339844,23.20882286145849,10.247116088867188,15.074772955144493,0.9513636363636364,0.9922727272727273
spokenarabicdigits,0.0,512,0,34.17015075683594,102.24630737304688,48.60475451274983,28.86032485961914,39.205877581846366,0.6795454545454546,0.9913636363636363
spokenarabicdigits,0.0,512,1,35.400272369384766,101.66878509521484,48.61082217762771,31.548616409301758,39.53724329679915,0.7068181818181818,0.9913636363636363
spokenarabicdigits,0.0,512,2,36.043819427490234,101.52877044677734,48.54423352584098,31.440105438232422,39.39587772702708,0.6690909090909091,0.9881818181818182
spokenarabicdigits,0.0,512,3,33.95705032348633,102.75212097167969,48.59094212356123,29.819499969482422,39.450548671981664,0.7618181818181818,0.9881818181818182
spokenarabicdigits,0.0,512,4,34.93290328979492,101.83583068847656,48.569798552874225,30.694814682006836,39.3355343642744,0.6504545454545455,0.9940909090909091
spokenarabicdigits,0.25,512,0,22.130294799804688,75.44387817382812,47.227248367754,17.267257690429688,33.72281855981327,0.9527272727272728,0.9922727272727273
spokenarabicdigits,0.25,512,1,21.688562393188477,74.25662994384766,46.9725306612774,16.875709533691406,33.21301117684077,0.9704545454545455,0.9922727272727273
spokenarabicdigits,0.25,512,2,22.592567443847656,76.86792755126953,46.92260808852112,16.959226608276367,33.94717936839872,0.9522727272727273,0.99
spokenarabicdigits,0.25,512,3,21.306554794311523,76.23428344726562,47.11600153654524,16.811376571655273,33.48592415596675,0.9581818181818181,0.9927272727272727
spokenarabicdigits,0.25,512,4,22.211162567138672,74.76758575439453,46.65044762324361,17.600805282592773,33.3805937720734,0.9609090909090909,0.9927272727272727
spokenarabicdigits,0.5,512,0,20.027353286743164,59.91200256347656,42.299762059183955,15.172525405883789,29.253146199346745,0.9595454545454546,0.9927272727272727
spokenarabicdigits,0.5,512,1,20.497819900512695,60.29391860961914,42.18752411036815,15.397168159484863,28.949905099220647,0.9622727272727273,0.9904545454545455
spokenarabicdigits,0.5,512,2,19.485424041748047,62.32682418823242,42.62625999821042,14.507731437683105,29.5544314893704,0.945,0.9927272727272727
spokenarabicdigits,0.5,512,3,19.82205581665039,61.1861686706543,42.23248561377664,13.979351997375488,29.437724067169487,0.9486363636363636,0.9959090909090909
spokenarabicdigits,0.5,512,4,21.019407272338867,60.37099075317383,42.00807823255224,14.709376335144043,28.91030581946512,0.9581818181818181,0.9913636363636363
spokenarabicdigits,0.75,512,0,19.250703811645508,47.77226638793945,36.47679178923079,13.250679016113281,24.882508398259727,0.9563636363636364,0.995
spokenarabicdigits,0.75,512,1,18.937837600708008,46.11824035644531,35.92590957937889,13.717101097106934,24.899512207623825,0.9531818181818181,0.9931818181818182
spokenarabicdigits,0.75,512,2,19.775667190551758,49.17858123779297,36.97596603689842,13.334165573120117,25.119942989164187,0.9504545454545454,0.9877272727272727
spokenarabicdigits,0.75,512,3,19.177682876586914,48.488521575927734,36.31366144569175,13.96418571472168,25.094002640363083,0.9459090909090909,0.9904545454545455
spokenarabicdigits,0.75,512,4,19.850645065307617,48.79652404785156,36.38956129203722,13.627776145935059,24.935133887726128,0.9554545454545454,0.9922727272727273
spokenarabicdigits,1.0,512,0,18.465534210205078,37.96638107299805,31.266893609056194,12.932079315185547,20.819655760978033,0.9572727272727273,0.9945454545454545
spokenarabicdigits,1.0,512,1,18.682994842529297,38.044456481933594,31.016501565581386,12.794636726379395,20.56812767843598,0.9431818181818182,0.9922727272727273
spokenarabicdigits,1.0,512,2,18.87723731994629,37.934932708740234,30.875330656477548,11.950501441955566,20.80320482346618,0.9481818181818182,0.9927272727272727
spokenarabicdigits,1.0,512,3,18.163270950317383,37.951107025146484,30.817508512330285,12.013663291931152,21.55245405030482,0.9468181818181818,0.99
spokenarabicdigits,1.0,512,4,18.544082641601562,37.63815689086914,30.55664001390772,12.300067901611328,20.264470980005356,0.9518181818181818,0.9940909090909091
